"","logFC","logCPM","F","PValue","FDR"
"PY17X_1374200",1.96223907677545,-0.609485684575311,6.92422017372424,0.0246537141898186,0.0278132955895154
"PY17X_1465800",-0.425560723698303,6.3987453862884,6.91770436544556,0.0247066841349568,0.0278667106447077
"PY17X_1248300",0.638106033244569,2.12287575585644,6.88763890643705,0.0249528960892185,0.0281368321934459
"PY17X_0930500",-0.281711033556009,5.64187575987773,6.8870766121016,0.0249575291207402,0.0281368321934459
"PY17X_0624900",-0.587470139396524,4.77518359912297,6.82596944464974,0.0254673040871977,0.028705016842427
"PY17X_0701200",-0.715419076014344,2.80753333092817,6.75306210528981,0.0260921595607805,0.0294026245528031
"PY17X_0213700",-0.35801959726808,4.85870901311053,6.73131927608558,0.0262821001604439,0.0296099314378631
"PY17X_0834700",-0.387299396394423,4.24873560023675,6.7198094113701,0.0263833274021304,0.029717220592036
"PY17X_0619900",0.395365113377969,6.92708947459729,6.68328437761333,0.0267077089886161,0.030075756816083
"PY17X_0408000",0.764827143691486,1.1610197290839,6.66746104344928,0.0268497398883484,0.0302288302786585
"PY17X_1145800",-0.54558541127927,3.03091694786482,6.65993595984577,0.0269176071670504,0.0302983559209406
"PY17X_1033500",-0.938242626399175,0.59643484401545,6.64821316981358,0.0270237483829551,0.0304109212047969
"PY17X_1448700",-0.469280215620352,3.54956908854297,6.59790996471293,0.0274850190958977,0.0309229862972234
"PY17X_1436900",-0.592052091712935,2.5584687422536,6.58501544063246,0.0276047959474628,0.0310506964856163
"PY17X_1018100",0.479171236175858,3.84896796817344,6.56139371836136,0.0278258668697143,0.0312922614491273
"PY17X_1337900",0.679743135132692,4.10237813953986,6.55589274715389,0.0278776577876167,0.0313433920134819
"PY17X_1346200",0.3344018965015,5.33112048652353,6.50845545995855,0.0283291691377547,0.0318438108974171
"PY17X_1028900",0.451373585078863,6.18781840472078,6.47287516820861,0.0286736668317887,0.0322237398681053
"PY17X_0306200",-0.461071065787258,3.8160556244452,6.4524502150506,0.0288737275075642,0.0324412136766013
"PY17X_1249360",1.33509602148179,3.46551576197693,6.54254156218416,0.0289079096922134,0.0324722575781074
"PY17X_0601200",1.0525239401154,0.206329086902153,6.40495332793038,0.0293455556822452,0.0329563956404276
"PY17X_1461300",0.510747601902793,4.46947265179106,6.3942843290026,0.0294528263039781,0.0330693718084539
"PY17X_0411200",-0.577030763813646,4.32250329022012,6.39345628514745,0.0294611717286665,0.033071249623391
"PY17X_1033400",-0.432999303513467,3.50180081658797,6.33168286389278,0.0300919450535218,0.0337716665953926
"PY17X_0941500",-0.451043724221577,10.0350351613776,6.30458381400758,0.0303738331077998,0.0340803071954395
"PY17X_0900600",-0.881594230188648,0.843120944543922,6.30089860272889,0.0304124148293555,0.0341158732218845
"PY17X_0945500",1.05337928918185,3.43610880134545,6.28760890232371,0.0305520452550505,0.0342647513654742
"PY17X_1337300",-0.976680528108434,0.406015019607335,6.25729837587611,0.0308734367593036,0.0346173648369024
"PY17X_1305100",-0.884081920337013,1.05120125515303,6.25338534701168,0.0309152269249676,0.0346563819588644
"PY17X_1102900",0.760042432466422,2.32095664732719,6.25227810375646,0.0309270644956365,0.0346618117685153
"PY17X_1445800",0.379688083953902,3.94666959962479,6.23769193410009,0.0310835217271707,0.0348292863847746
"PY17X_0308600",0.353219888608505,5.38151357617188,6.22640958534786,0.031205201767743,0.0349577260309526
"PY17X_0701110",1.37382361749988,0.197240818989977,6.11608445455512,0.032426143730298,0.0363172809779337
"PY17X_1231100",-0.369632892557844,6.07293315914981,6.11522717246092,0.0324358565008415,0.036319951382325
"PY17X_1350000",-0.45413895303886,4.27963222707655,6.11440690939483,0.0324451531721349,0.0363221547596794
"PY17X_0401700",-1.9758450723477,-0.717563467467545,6.09593585396165,0.0326553614984962,0.0365492257422193
